cha_id,cha_lib,cha_long,mf1_hd,mf1_debit,mf1_taux,mf1_vit,tc1_temps,couleur_tp,etat_trafic,geo_shape,geo_point_2d
158,Le Lasseur P2,364,2021-10-13T17:54:00+00:00,300,3.3,20,66,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.567736778325377, 47.23196444763944], [-1.571451462868989, 47.22987385459945]]}","47.2309191511, -1.5695941206"
772,Vannes I9,410,2021-10-13T17:54:00+00:00,240,3.7,20,72,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.582270101540026, 47.2352686493068], [-1.577780721076294, 47.23319125926304]]}","47.2342299543, -1.58002541131"
5043,Anglais I5,207,2021-10-13T17:54:00+00:00,360,7.9,17,45,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.577243841900324, 47.22842151022524], [-1.574586240416653, 47.22888835931192]]}","47.2286549348, -1.57591504116"
497,Lauriol I4,224,2021-10-13T17:54:00+00:00,840,32.0,7,109,5,Saturé,"{""type"": ""LineString"", ""coordinates"": [[-1.562687183832143, 47.23640322963491], [-1.56265993137808, 47.2343878560666]]}","47.2353955429, -1.56267355761"
9,Schuman I5,309,2021-10-13T17:54:00+00:00,780,48.7,6,180,6,Bloqué,"{""type"": ""LineString"", ""coordinates"": [[-1.567308172017098, 47.23576391609768], [-1.565227490913885, 47.233367126049025]]}","47.2345655211, -1.56626783147"
5074,Pitre Chevallier I1,204,2021-10-13T17:54:00+00:00,420,7.5,17,44,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.551164741097992, 47.22290437461029], [-1.549191914846634, 47.224164786000024]]}","47.2235345803, -1.55017832797"
5444,Pasteur P1,177,2021-10-13T17:54:00+00:00,180,2.0,15,42,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.580180950963691, 47.21294750758744], [-1.578020145488297, 47.212328531100624]]}","47.2126380193, -1.57910054823"
39,Orieux P2,231,2021-10-13T17:54:00+00:00,780,8.7,21,40,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.551442419407508, 47.23474816409211], [-1.550616936333177, 47.23506286302311], [-1.550000265095422, 47.23520748007501], [-1.548571053685427, 47.23540734113755]]}","47.235150602, -1.55002508282"
5029,Fosse P1,425,2021-10-13T17:54:00+00:00,1560,13.3,25,62,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.560713643387498, 47.21011050067496], [-1.561687098108604, 47.21035721268393], [-1.56233962049823, 47.21037641040664], [-1.565948194782158, 47.2093193554819]]}","47.209981967, -1.5633415027"
5053,Barbusse P2,224,2021-10-13T17:54:00+00:00,300,5.0,19,43,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.550701911040741, 47.22768622294059], [-1.551279862157392, 47.227260170817715], [-1.551757206444261, 47.227325587018285], [-1.551875286883419, 47.227220479666734], [-1.552148562161728, 47.22697908795141], [-1.552190941783056, 47.22687447044928], [-1.552130740499122, 47.22631722426799]]}","47.2271359125, -1.55163607582"
5094,Michelet P1,226,2021-10-13T17:54:00+00:00,120,0.8,21,39,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.55553039969025, 47.23090680863786], [-1.555546940624271, 47.232945239897525]]}","47.2319260243, -1.55553867016"
